product_id;article;name;category_id;unit_id
12a04795-cbc9-11e0-83f6-0027139014cf;384056;Хлібці Удальці Пшеничні в Шоколадній Глазурі 30 г;13f8a3cb-6ef9-11e4-823f-001b21a1ef75;b5b2c2ae-cbc7-11e0-83f6-0027139014cf
12a047ad-cbc9-11e0-83f6-0027139014cf;585212;Хлібці Удальці Пшеничні з Солодким Перцем 100 г;13f8a3cb-6ef9-11e4-823f-001b21a1ef75;b5b2c2ae-cbc7-11e0-83f6-0027139014cf
12a047a5-cbc9-11e0-83f6-0027139014cf;222657;Хлібці Удальці Пшенично-Гречано-Ячмінні 100 г;13f8a3cb-6ef9-11e4-823f-001b21a1ef75;b5b2c2ae-cbc7-11e0-83f6-0027139014cf
12a0477d-cbc9-11e0-83f6-0027139014cf;521544;Хлібці Хрумтик Абрикос 100г ;13f8a3c6-6ef9-11e4-823f-001b21a1ef75;b5b2c2ae-cbc7-11e0-83f6-0027139014cf
12a0477f-cbc9-11e0-83f6-0027139014cf;566589;Хлібці Хрумтик Біо-фантазія 100г;13f8a3c6-6ef9-11e4-823f-001b21a1ef75;b5b2c2ae-cbc7-11e0-83f6-0027139014cf
12a04781-cbc9-11e0-83f6-0027139014cf;584748;Хлібці   Хрумтик з Вишнею 100г;13f8a3c6-6ef9-11e4-823f-001b21a1ef75;b5b2c2ae-cbc7-11e0-83f6-0027139014cf
12a04789-cbc9-11e0-83f6-0027139014cf;255133;Хлібці   Хрумтик з Медом 100г;13f8a3c6-6ef9-11e4-823f-001b21a1ef75;b5b2c2ae-cbc7-11e0-83f6-0027139014cf
12a04787-cbc9-11e0-83f6-0027139014cf;455674;Хлібці   Хрумтик з Полуницею 100г;13f8a3c6-6ef9-11e4-823f-001b21a1ef75;b5b2c2ae-cbc7-11e0-83f6-0027139014cf
12a0478f-cbc9-11e0-83f6-0027139014cf;214163;Хлібці   Хрумтик Пшенично-житні 100г;13f8a3c6-6ef9-11e4-823f-001b21a1ef75;b5b2c2ae-cbc7-11e0-83f6-0027139014cf
12a04791-cbc9-11e0-83f6-0027139014cf;115645;Хлібці   Хрумтик Пшенично-рисові 100г;13f8a3c6-6ef9-11e4-823f-001b21a1ef75;b5b2c2ae-cbc7-11e0-83f6-0027139014cf
12a04793-cbc9-11e0-83f6-0027139014cf;69789;Хлібці Хрумтик Фітнес-коктейль 100г;13f8a3c6-6ef9-11e4-823f-001b21a1ef75;b5b2c2ae-cbc7-11e0-83f6-0027139014cf
d3cace52-cbc8-11e0-83f6-0027139014cf;544545;Хлоп'я  Bruggen м'яка упаковка 500г;d3cace51-cbc8-11e0-83f6-0027139014cf;b5b2c2ae-cbc7-11e0-83f6-0027139014cf
aab3ee3d-1277-11e0-acfe-00132107ba1d;555545;Хрін Верес білий гострий 130г;dd165c19-7a2a-11e4-823f-001b21a1ef75;6db68807-b060-11dc-ac41-0015172b7641
aa3aec75-cbc9-11e0-83f6-0027139014cf;667413;Хрін Верес Білий гострий  190г;dd165c19-7a2a-11e4-823f-001b21a1ef75;b5b2c2ae-cbc7-11e0-83f6-0027139014cf
6d2a292f-41b2-11e4-8a45-001b21a1ef75;541357;Хрін Верес Івана Купала столовий з буряком скло банка 170г;dd165c19-7a2a-11e4-823f-001b21a1ef75;c683f468-3309-11e1-90cc-bcaec5951f9c
97aebc8b-f106-11e2-a631-001b21a1ef75;508378;Хрін Верес м'який по-баварськи дой пак 130г;dd165c19-7a2a-11e4-823f-001b21a1ef75;6db68807-b060-11dc-ac41-0015172b7641
51f45869-be91-11e4-985f-001b21a1ef75;576508;Хрін Еколенд Столовий з буряком 250г;51f45867-be91-11e4-985f-001b21a1ef75;6db68807-b060-11dc-ac41-0015172b7641
8f6f9262-9c36-11e2-8431-001b21a1ef75;107362;Цукерки Антарес Чорнослив з грецьким горіхом 1,5кг;0336b094-7168-11e4-823f-001b21a1ef75;568263a8-bae8-11e1-9184-003048d2b64d
